RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0-043582,2020/05/18 00:00:00+00,1450,W,M,25,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,216
C0-042307,2020/05/14 00:00:00+00,2045,W,M,30,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,,217
C0-041816,2020/05/13 00:00:00+00,1315,W,M,55,E,D,,,,X,,,,,X,,,,Y,N,Y,N,,218
C0-041814,2020/05/13 00:00:00+00,1310,W,M,47,C,C,,,,X,,,,,X,,,,N,,Y,N,,219
C0-040894,2020/05/10 00:00:00+00,1801,W,M,38,D,D,,,,X,,,,,X,,,,N,,Y,Y,,220
C0-039969,2020/05/07 00:00:00+00,0,W,M,47,D,C,,,,X,,,,,,,,,N,,Y,Y,,221
C0-039165,2020/05/05 00:00:00+00,455,W,M,18,D,D,,,,X,,,,,X,,,,Y,N,N,N,,222
C0-039010,2020/05/04 00:00:00+00,1723,W,M,22,E,D,,,,X,,,,,X,,,,,,N,,,223
C0-038644,2020/05/03 00:00:00+00,1705,W,M,42,D,C,,,,X,,,,,X,,,,N,,N,N,,224
C0-038512,2020/05/03 00:00:00+00,633,,,0,,Z,,,,,,,,X,,,,,N,,,,,225
C0-038240,2020/05/02 00:00:00+00,1047,B,M,27,D,C,,,,X,,,,,X,,,,N,,Y,N,,226
C0-038051,2020/05/01 00:00:00+00,2003,W,M,26,E,G,,,,X,,,,,X,,X,,N,N,N,Y,,227
C0-038051,2020/05/01 00:00:00+00,2003,W,M,26,D,G,,,,X,,,,,,,X,,N,N,N,Y,,228
C0-038051,2020/05/01 00:00:00+00,2003,W,M,26,D,C,,,,X,,,,,,,,,N,,N,Y,,229
C0-038032,2020/05/01 00:00:00+00,1955,W,M,18,E,C,,,X,X,,,,,X,,,,N,,Y,N,,230
C0-037279,2020/04/29 00:00:00+00,1843,W,M,29,D,C,,,,X,,,,,X,,,,Y,N,N,Y,,231
C0-037034,2020/04/28 00:00:00+00,2115,H,M,33,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,232
C0-036292,2020/04/26 00:00:00+00,1952,B,M,25,E,C,,,,X,,,,,X,,,,Y,Y,Y,Y,,233
C0-035299,2020/04/23 00:00:00+00,0,W,M,60,C,C,,,,X,,,,,X,,,,N,,Y,N,,234
C0-034751,2020/04/22 00:00:00+00,103,W,F,29,D,C,,,,X,,,,,X,,,,N,,N,,,235
C0-033468,2020/04/17 00:00:00+00,2150,W,M,58,D,C,,,,X,,,,,X,,,,N,,Y,N,,236
C0-033468,2020/04/17 00:00:00+00,2150,W,M,58,D,C,,,,X,,,,,X,,,,N,,Y,N,,237
C0-033468,2020/04/17 00:00:00+00,2150,W,M,58,D,C,,,,X,,,,,,,,,N,,Y,N,,238
C0-033394,2020/04/17 00:00:00+00,1851,B,M,17,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,239
C0-032908,2020/04/15 00:00:00+00,2118,I,M,39,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,,240
C0-032908,2020/04/15 00:00:00+00,2118,I,M,39,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,,241
C0-032100,2020/04/12 00:00:00+00,2343,B,M,32,D,C,,,,X,,,,,X,,,,Y,N,N,N,,242
C0-032100,2020/04/12 00:00:00+00,2343,B,M,32,D,C,,,,X,,,,,,,,,Y,N,N,N,,243
C0-030700,2020/04/08 00:00:00+00,1437,H,M,26,E,C,,,,X,,,,,X,,,,Y,Y,N,N,,244
C0-030352,2020/04/07 00:00:00+00,1619,W,M,32,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,245
C0-030352,2020/04/07 00:00:00+00,1619,W,M,32,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,246
C0-030207,2020/04/07 00:00:00+00,420,H,M,20,D,D,,,,X,,,,,X,,,,Y,Y,N,N,,247
C0-030207,2020/04/07 00:00:00+00,420,H,M,20,D,D,,,,X,,,,,X,,,,Y,N,N,N,,248
C0-030201,2020/04/07 00:00:00+00,247,W,M,26,D,C,,,,X,,X,,,X,,,,N,,N,Y,,249
C0-028421,2020/04/01 00:00:00+00,439,W,M,45,D,C,,,,,,,X,,,,,X,N,,Y,Y,,250
C0-028421,2020/04/01 00:00:00+00,510,W,M,45,D,G,,,,,,,X,,X,,,X,N,,Y,Y,,251
C0-028336,2020/03/31 00:00:00+00,1945,W,F,16,D,C,,,,X,,,,,X,,,,N,,Y,Y,,252
C0-027456,2020/03/29 00:00:00+00,215,W,M,51,E,D,,,,X,,,,,X,,,,Y,N,N,N,,253
C0-027240,2020/03/28 00:00:00+00,1107,B,M,27,D,C,,,,X,,,,,X,,,,N,,Y,Y,,254
C0-027240,2020/03/28 00:00:00+00,1107,B,M,27,,C,,,,X,,,,,X,,,,N,,Y,Y,,255
C0-027171,2020/03/28 00:00:00+00,205,B,F,26,E,G,,,,,,,,,X,,X,,N,Y,N,Y,,256
C1-058247,2021/06/26 00:00:00+00,1820,B,F,27,E,D,,,,X,,,,,X,,,,Y,N,N,,,257
C1-056849,2021/06/22 00:00:00+00,1951,B,M,38,D,C,,,,X,,,,,X,,,,Y,N,N,N,,258
C1-061122,2021/07/03 00:00:00+00,2033,W,F,31,D,C,,,,X,,,,,,,,,Y,N,Y,Y,,259
C1-054830,2021/06/16 00:00:00+00,2201,H,M,33,C,G,,,,,,,,,X,,,,N,,N,N,,260
C1-060923,2021/07/03 00:00:00+00,558,B,M,21,D,G,,,,X,,,,,,,,X,Y,N,Y,Y,,261
C1-054518,2021/06/16 00:00:00+00,24,B,M,30,D,C,,,,X,,,,,X,,,,N,,Y,N,,262
C1-060914,2021/07/03 00:00:00+00,206,W,M,24,E,D,,,,X,,,X,,,,,,N,,Y,N,,263
C1-053307,2021/06/12 00:00:00+00,1930,W,M,46,E,C,,,,X,,,,,X,,,,Y,N,N,,,264
C1-053307,2021/06/12 00:00:00+00,1930,W,M,46,E,C,,,,X,,,,,X,,,,Y,N,N,,,265
C1-053288,2021/06/12 00:00:00+00,1458,W,M,39,D,C,,,,X,,,,,X,,,,N,,Y,N,,266
C1-052997,2021/06/11 00:00:00+00,1845,B,F,28,E,C,,,,X,,,,,X,,,,Y,N,N,N,,267
C1-052757,2021/06/11 00:00:00+00,405,B,F,22,E,C,,,,X,,,,,X,,,,Y,N,N,Y,,268
C1-052683,2021/06/10 00:00:00+00,2320,W,M,40,A,B,,,,,,,,,X,,,,N,N,Y,N,,269
C1-052306,2021/06/09 00:00:00+00,2140,B,M,46,E,D,,,X,X,,,,,,,,,N,,Y,N,,270
C1-052306,2021/06/09 00:00:00+00,2140,B,M,46,E,D,,,X,X,,,,,,,,,N,,Y,N,,271
C1-052306,2021/06/09 00:00:00+00,2140,B,M,46,E,C,,,X,X,,,,,,,,,N,,Y,N,,272
C1-051925,2021/06/09 00:00:00+00,1945,W,F,31,D,C,,,,X,,,,,,,,,N,,Y,Y,,273
C0-085055,2020/09/12 00:00:00+00,1740,W,M,21,D,C,,,,X,,,,,X,,,,N,,Y,Y,,274
C0-082645,2020/09/05 00:00:00+00,333,W,M,20,E,C,,,X,X,,,,,X,,,,Y,N,N,,,275
C1-051606,2021/06/07 00:00:00+00,2215,,,0,,Z,,,,,,,,X,,,,,,,,,,276
C1-050684,2021/06/05 00:00:00+00,355,W,M,51,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,277
C1-050303,2021/06/04 00:00:00+00,502,W,M,29,D,C,,,,X,,,,,X,,,,N,,N,N,,278
C1-049954,2021/06/03 00:00:00+00,350,W,F,26,D,C,,,,X,,,,,X,,,,N,N,N,N,,279
C1-049495,2021/06/01 00:00:00+00,2110,W,M,26,D,D,,,,X,,,,,X,,,,N,,Y,N,,280
C1-049495,2021/06/01 00:00:00+00,2110,W,F,49,C,C,,,,,,,,,X,,,,N,,Y,N,,281
C1-049335,2021/06/01 00:00:00+00,1230,H,M,17,D,B,,,,X,,,,,,,,,N,,Y,Y,,282
C1-048141,2021/05/28 00:00:00+00,1922,W,M,34,D,C,,,,X,,,,,X,,,,N,,Y,N,,283
C1-047150,2021/05/25 00:00:00+00,2140,H,M,21,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,284
C1-043901,2021/05/17 00:00:00+00,316,,,0,,Z,,,,,,,,X,,,,,,,,,,285
C0-082609,2020/09/05 00:00:00+00,125,H,M,21,E,G,,,,,,,,,,,X,,Y,Y,N,Y,,286
C1-043001,2021/05/14 00:00:00+00,1156,W,M,34,E,G,,,,,,,,,,,X,,Y,N,Y,Y,,287
C0-082538,2020/09/04 00:00:00+00,2202,H,M,19,D,D,,,,X,,,,,X,,,,N,,Y,Y,,288
C1-043001,2021/05/14 00:00:00+00,1249,W,M,34,E,C,,,X,X,,,,,X,,,,Y,N,N,Y,,289
C0-082183,2020/09/04 00:00:00+00,130,W,F,17,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,290
C1-042899,2021/05/14 00:00:00+00,610,,,0,,Z,,,,,,,,X,,,,,,,,,,291
C0-081578,2020/09/02 00:00:00+00,1226,W,M,28,E,G,,,,,,,,,X,,X,,N,,Y,Y,,292
C1-042104,2021/05/11 00:00:00+00,2015,W,M,25,E,G,,,,X,,,,,X,,X,,Y,Y,Y,Y,,293
C0-081022,2020/08/31 00:00:00+00,2142,W,F,24,D,C,,,,,,,,,X,,,,N,,Y,Y,,294
C1-040827,2021/05/07 00:00:00+00,2326,H,M,22,D,D,,,,X,,,X,,X,,,,Y,N,N,N,,295
C0-080393,2020/08/30 00:00:00+00,147,B,M,26,E,C,,,,X,,,,,X,,,,Y,Y,N,,,296
C1-039423,2021/05/04 00:00:00+00,517,B,M,39,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,297
C0-080206,2020/08/29 00:00:00+00,1646,W,M,19,D,C,,,,X,,,,,X,,,,Y,Y,N,N,,298
C1-039423,2021/05/04 00:00:00+00,957,B,M,39,D,B,,,,,,,,,X,,,,N,,Y,N,,299
C0-079947,2020/08/28 00:00:00+00,2330,B,M,28,D,D,,,X,X,,,,,X,,,,N,,Y,Y,,300
C1-039423,2021/05/04 00:00:00+00,517,B,M,39,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,301
C0-079031,2020/08/26 00:00:00+00,1150,H,M,17,F,H,,,,,,,,X,,,,,Y,Y,N,Y,,302
C1-039368,2021/05/03 00:00:00+00,2232,H,M,15,D,B,,,,,,,,,X,,,,N,,Y,N,,303
C0-079006,2020/08/26 00:00:00+00,912,W,M,34,D,G,,,,,,,,,X,,X,,N,,Y,Y,,304
C1-039332,2021/05/03 00:00:00+00,2016,W,M,25,D,C,,,,X,,,,,X,,,,N,,Y,N,,305
C1-038925,2021/05/02 00:00:00+00,1659,B,M,30,E,G,,,,X,,,,,X,,X,,Y,Y,N,Y,,306
C1-038659,2021/05/01 00:00:00+00,2200,,,0,,Z,,,,,,,,X,,,,,N,,,,,307
C1-037995,2021/04/30 00:00:00+00,24,B,M,28,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,308
C1-037995,2021/04/30 00:00:00+00,24,B,M,28,E,D,,,X,X,,,,,X,,,,Y,N,Y,Y,,309
C1-037995,2021/04/30 00:00:00+00,24,B,M,28,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,310
C1-037995,2021/04/30 00:00:00+00,24,B,M,28,F,C,,,,X,,,,,X,,,,Y,N,Y,Y,,311
C1-037995,2021/04/30 00:00:00+00,24,B,M,28,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,312
C1-036942,2021/04/27 00:00:00+00,317,W,M,30,D,D,,,,X,,,,,X,,,,N,,Y,N,,313
C1-035495,2021/04/23 00:00:00+00,207,W,M,21,E,D,,,,,,,X,,X,,,,N,,N,N,,314
C1-035495,2021/04/23 00:00:00+00,207,W,M,22,E,D,,,,,,,X,,X,,,,N,,N,N,,315
C1-034638,2021/04/20 00:00:00+00,1630,W,M,26,D,C,,,,X,,,,,X,,,,N,,Y,Y,,316
C1-034259,2021/04/19 00:00:00+00,1335,B,M,16,D,D,,,,X,,,,,,,,,Y,N,N,N,,317
C1-033694,2021/04/17 00:00:00+00,1939,W,M,16,E,D,,,,X,,,,,X,,,,Y,N,Y,N,,318
C1-031921,2021/04/12 00:00:00+00,1035,W,M,40,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,319
C1-031921,2021/04/12 00:00:00+00,1035,W,M,40,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,320
C1-031793,2021/04/11 00:00:00+00,2049,,,0,,Z,,,,,,,,X,,,,,N,,,,,321
C0-077621,2020/08/22 00:00:00+00,2032,W,M,38,E,D,,,X,X,,,,,X,,,,Y,N,N,N,,322
C0-075530,2020/08/16 00:00:00+00,2345,W,M,62,D,G,,,,,,,,,X,,,X,N,,Y,Y,,323
C0-075148,2020/08/15 00:00:00+00,2155,B,F,33,E,D,,,,X,,,X,,X,,,,Y,Y,N,Y,,324
C0-073021,2020/08/09 00:00:00+00,2259,B,M,24,D,C,,,,X,,,,,X,,,,Y,N,N,N,,325
C0-071588,2020/08/05 00:00:00+00,2127,,,0,,Z,,,,,,,,X,,,,,N,,,,,326
C0-069869,2020/07/31 00:00:00+00,2351,A,M,16,D,C,,,,X,,,,,X,,,,Y,N,N,N,,327
C0-068868,2020/07/28 00:00:00+00,2255,I,M,40,E,G,,,,,,,,,X,,X,,N,Y,Y,Y,,328
C0-068868,2020/07/28 00:00:00+00,2255,I,M,40,E,C,,,,X,,,,,X,,,,N,Y,Y,Y,,329
C0-067525,2020/07/24 00:00:00+00,2241,W,M,27,C,C,,,,X,,,,,X,,,,N,,Y,Y,,330
C0-067516,2020/07/24 00:00:00+00,2228,,,0,,Z,,,,,,,,X,,,,,N,,Y,N,,331
C0-067253,2020/07/24 00:00:00+00,155,W,M,22,E,C,,,,X,,,,,X,,,,N,,Y,N,,332
C0-067253,2020/07/24 00:00:00+00,155,W,M,22,E,C,,,,X,,,,,X,,,,N,,Y,N,,333
C0-065698,2020/07/19 00:00:00+00,1633,B,M,31,E,C,,,,X,,,,,X,,,,Y,Y,Y,N,,334
C0-065698,2020/07/19 00:00:00+00,1633,B,M,31,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,335
C0-065324,2020/07/18 00:00:00+00,1630,U,F,38,E,C,,,,X,,,,,X,,,,N,,Y,N,,336
C0-065237,2020/07/18 00:00:00+00,1222,W,M,30,D,C,,,,X,,,,,X,,,,N,,Y,N,,337
C0-065237,2020/07/18 00:00:00+00,1222,W,M,30,D,C,,,,X,,,,,X,,,,N,,Y,N,,338
C0-064597,2020/07/16 00:00:00+00,1605,W,F,27,D,C,,,,X,,,,,X,,,,N,,Y,N,,339
C0-064505,2020/07/16 00:00:00+00,815,,,0,,Z,,,,,,,,X,,,,,N,,Y,,,340
C0-064404,2020/07/15 00:00:00+00,2149,,,0,,Z,,,,,,,,X,,,,,N,,,,,341
C0-063439,2020/07/13 00:00:00+00,535,,,0,E,G,,,,,,,,,,,X,,N,,,,,342
C0-063439,2020/07/13 00:00:00+00,535,,,0,E,G,,,,,,,,,,,X,,N,,,,,343
C0-063148,2020/07/12 00:00:00+00,130,W,F,17,D,C,,,,X,,,,,X,,,,N,,Y,N,,344
C0-063069,2020/07/11 00:00:00+00,2001,W,M,34,D,C,,,,X,,,,,X,,,,Y,N,N,N,,345
C0-062000,2020/07/08 00:00:00+00,2355,H,M,21,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,346
C0-062000,2020/07/08 00:00:00+00,2355,H,M,21,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,347
C0-059970,2020/07/03 00:00:00+00,1410,W,M,54,D,C,,,,X,,,,,,,,,N,,Y,N,,348
C0-057501,2020/06/27 00:00:00+00,204,W,M,25,E,G,,,,,,,,,X,,X,,N,,Y,Y,,349
C0-056844,2020/06/25 00:00:00+00,1301,W,M,27,E,G,,,,,,,,,X,,X,,N,,N,Y,,350
C2-006335,2021/01/24 00:00:00+00,1940,H,M,20,D,D,,,,X,,,,,X,,,,,,N,N,,351
C1007347,2021/09/21 00:00:00+00,1500,B,M,20,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,352
C1006544,2021/08/23 00:00:00+00,1109,B,M,39,F,G,,,,X,,,,,X,,X,X,Y,Y,Y,Y,,353
C1004920,2021/06/28 00:00:00+00,1131,B,M,26,F,G,,,,X,,,,,X,,X,,Y,N,Y,Y,,354
C1004568,2021/06/16 00:00:00+00,715,H,M,31,D,G,,,,X,,,,,,,X,,N,,Y,Y,,355
C1001310,2021/02/20 00:00:00+00,930,W,M,26,F,H,,,,,,,,X,,,,,Y,Y,Y,,,356
C1-120676,2021/12/27 00:00:00+00,325,B,F,22,E,G,,,X,X,,,,,X,,X,,Y,N,Y,Y,,357
C1-119690,2021/12/23 00:00:00+00,129,W,M,37,D,A,,,,,,,,,X,,,,N,,Y,Y,,358
C1-119402,2021/12/22 00:00:00+00,0,W,M,30,C,C,,,,X,,,,,X,,,,N,,Y,Y,,359
C1-118699,2021/12/19 00:00:00+00,1839,W,M,36,E,D,,,,X,,,,,X,,,,N,N,N,N,,360
C1-115517,2021/12/09 00:00:00+00,248,B,M,39,E,G,,,,X,,,,,,,X,,Y,N,Y,Y,,361
C1-115517,2021/12/09 00:00:00+00,248,B,M,39,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,362
C1-114322,2021/12/05 00:00:00+00,56,W,M,13,D,D,,,,X,,,,,X,,,,N,,N,N,,363
C1-113711,2021/12/03 00:00:00+00,149,W,M,35,D,G,,,,X,,,,,X,,X,,N,,N,Y,,364
C1-113711,2021/12/03 00:00:00+00,149,W,M,35,D,D,,,,X,,,,,X,,,,N,,N,Y,,365
C1-113249,2021/12/01 00:00:00+00,1921,,,0,,Z,,,,,,,,X,,,,,,,,,,366
C1-113025,2021/12/01 00:00:00+00,440,I,F,0,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,367
C1-112078,2021/11/28 00:00:00+00,107,B,F,21,D,C,,,,X,,,,,,,,,N,,Y,N,,368
C1-111760,2021/11/26 00:00:00+00,2140,W,M,65,D,C,,,,X,,,,,X,,,,Y,N,N,N,,369
C1-111760,2021/11/26 00:00:00+00,2140,W,M,65,D,C,,,X,X,,,,,X,,,,Y,N,N,N,,370
C1-111710,2021/11/26 00:00:00+00,2207,B,M,29,E,D,,,,X,,X,,,X,,,,Y,Y,N,N,,371
C1-111565,2021/11/26 00:00:00+00,1302,B,M,27,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,372
C1-111565,2021/11/26 00:00:00+00,1302,B,M,27,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,373
C1-111565,2021/11/26 00:00:00+00,1302,B,M,27,E,C,,,X,X,,,,,X,,,,Y,N,Y,Y,,374
C1-111114,2021/11/24 00:00:00+00,1443,H,M,27,F,D,,,,X,,,,,,,,,Y,N,Y,Y,,375
C1-110546,2021/11/22 00:00:00+00,1817,,,0,,Z,,,,,,,,X,,,,,Y,Y,,,,376
C1-109768,2021/11/20 00:00:00+00,100,,,0,,Z,,,,,,,,X,,,,,N,,,,,377
C1-108445,2021/11/16 00:00:00+00,245,W,M,24,E,G,,,,X,,,,,,,X,,N,,Y,Y,,378
C1-108433,2021/11/16 00:00:00+00,25,W,M,36,E,C,,,,X,,,,,X,,,,Y,N,N,N,,379
C1-107733,2021/11/13 00:00:00+00,1723,W,M,29,E,G,,,,,,,,,X,,X,,N,,Y,Y,,380
C1-107733,2021/11/13 00:00:00+00,1723,W,M,29,E,G,,,,,,,,,X,,X,,N,,Y,Y,,381
C1-107304,2021/11/12 00:00:00+00,1145,W,M,32,D,D,,,,X,,,,,X,,,,N,,N,N,,382
C1-107304,2021/11/12 00:00:00+00,1145,W,M,32,D,D,,,,X,,,,,X,,,,N,,N,N,,383
C1-105212,2021/11/06 00:00:00+00,302,W,M,34,D,D,,,,X,,,,,X,,,,N,N,Y,N,,384
C1-103704,2021/11/01 00:00:00+00,1830,B,M,33,D,D,,,,X,,,,,X,,,,N,,N,N,,385
C1-103461,2021/10/31 00:00:00+00,2257,W,M,35,E,G,,,,,,,,,,,X,,N,,N,Y,,386
C1-102106,2021/10/28 00:00:00+00,303,B,F,17,E,C,,,,X,,,,,,,,,N,,Y,N,,387
C1-101185,2021/10/25 00:00:00+00,0,W,M,19,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,388
C1-099453,2021/10/20 00:00:00+00,40,B,M,22,D,C,,,,X,,,,,X,,,,N,,Y,Y,,389
C1-098535,2021/10/17 00:00:00+00,1309,B,F,24,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,390
C1-098406,2021/10/17 00:00:00+00,15,B,M,30,D,C,,,,X,,,,,X,,,,Y,N,N,N,,391
C1-098406,2021/10/17 00:00:00+00,15,B,M,30,D,C,,,,X,,,,,X,,,,Y,N,N,N,,392
C1-098204,2021/10/16 00:00:00+00,1301,U,F,24,D,D,,,X,X,,,,,X,,,,N,,N,N,,393
C1-096777,2021/10/12 00:00:00+00,947,W,M,14,E,C,,,,X,,,,,,,,,Y,Y,N,N,,394
C1-095154,2021/10/07 00:00:00+00,2245,B,M,51,E,G,,,,,,,,,X,,X,,Y,N,N,Y,,395
C1-095010,2021/10/07 00:00:00+00,1556,B,M,33,D,D,,,,X,,,,,X,,,,N,,Y,Y,,396
C1-094802,2021/10/06 00:00:00+00,2322,W,M,40,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,397
C1-093835,2021/10/04 00:00:00+00,1737,B,M,22,D,G,,,,,,,,,X,,X,,N,,N,Y,,398
C1-093573,2021/10/03 00:00:00+00,2154,H,M,16,E,G,,,,,,,,,,,X,,Y,N,Y,Y,,399
C1-093554,2021/10/03 00:00:00+00,2140,W,M,37,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,400
C1-030431,2021/04/07 00:00:00+00,2030,W,M,24,D,D,,,,X,,,,,X,,,,N,,Y,N,,401
C1-030095,2021/04/06 00:00:00+00,2025,W,M,37,E,D,,,,X,,,,,X,,,,Y,N,N,N,,402
C1-030027,2021/04/06 00:00:00+00,1715,W,M,40,E,G,,,,,,,,,X,,X,,N,N,Y,Y,,403
C1-030027,2021/04/06 00:00:00+00,1651,W,M,40,E,G,,,,,,,,,X,,X,,N,,Y,Y,,404
C1-029204,2021/04/04 00:00:00+00,845,W,M,48,D,C,,,,X,,,,,X,,,,Y,N,N,N,,405
C1-028846,2021/04/03 00:00:00+00,0,W,M,41,D,C,,,,X,,,,,X,,,,N,,N,Y,,406
C1-028663,2021/04/02 00:00:00+00,1827,B,M,30,D,D,,,,X,,,,,X,,,,Y,Y,N,N,,407
C1-028414,2021/04/01 00:00:00+00,2206,H,F,16,D,D,,,,X,,,,,X,,,,Y,N,N,N,,408
C1-027656,2021/03/30 00:00:00+00,1025,W,M,17,E,C,,,,X,,,,,X,,,,Y,N,Y,N,,409
C1-027179,2021/03/28 00:00:00+00,2140,W,M,27,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,,410
C1-025995,2021/03/25 00:00:00+00,58,W,F,47,D,D,,,,X,,,,,X,,,,Y,N,N,N,,411
C1-025995,2021/03/25 00:00:00+00,58,W,F,47,D,D,,,,X,,,,,X,,,,Y,N,N,N,,412
C1-025665,2021/03/23 00:00:00+00,1800,B,M,26,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,413
C1-024826,2021/03/21 00:00:00+00,215,W,M,26,C,G,,,,,,,,,X,,,,N,,N,N,,414
C1-022075,2021/03/12 00:00:00+00,1320,B,M,28,E,D,,,,X,,,,,X,,,,N,,N,N,,415
C1-020959,2021/03/08 00:00:00+00,2330,W,M,35,E,C,,,X,,,,,,X,,,,N,,N,N,,416
C1-020781,2021/03/08 00:00:00+00,1327,W,F,46,D,D,,,,X,,,,,X,,,,N,,Y,Y,,417
C1-020781,2021/03/08 00:00:00+00,1327,W,F,46,D,D,,,,X,,,,,X,,,,N,,Y,Y,,418
C1-017882,2021/02/27 00:00:00+00,1700,W,M,33,E,D,,,,X,,,,,X,,,,Y,N,N,N,,419
C1-017307,2021/02/25 00:00:00+00,1942,,,0,,Z,,,,,,,,X,,,,,,,,,,420
C1-015185,2021/02/18 00:00:00+00,2250,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,N,N,,421
C1-013083,2021/02/11 00:00:00+00,1300,W,F,14,D,C,,,,X,,,,,X,,,,N,,Y,N,,422
C1-012926,2021/02/10 00:00:00+00,2136,A,M,27,F,G,,,,,,,,,,,X,,Y,N,N,Y,,423
C1-010816,2021/02/04 00:00:00+00,1935,W,M,29,E,G,,,,X,,,,,X,,X,,N,,Y,N,,424
C1-010816,2021/02/04 00:00:00+00,1930,W,M,29,E,C,,,,X,,,,,X,,,,N,,Y,N,,425
C1-009280,2021/01/30 00:00:00+00,2051,H,F,40,F,G,,,,,,,,,,,X,,N,,N,Y,,426
C1-007196,2021/01/25 00:00:00+00,1758,W,M,41,B,B,,,,,,,,,X,,,,N,,N,Y,,427
C1-006930,2021/01/24 00:00:00+00,1910,B,M,38,E,G,,,,,,,,,X,,X,,Y,N,N,Y,,428
C1-006734,2021/01/24 00:00:00+00,50,B,M,23,E,D,,,,,,,X,,X,,,,N,,N,N,,429
C1-006041,2021/01/21 00:00:00+00,2015,W,M,71,E,C,,,,X,,,,,X,,,,N,,Y,Y,,430
C1-005566,2021/01/20 00:00:00+00,1230,B,F,23,D,D,,,,X,,,,,X,,,,N,,N,N,,431
C1-004879,2021/01/17 00:00:00+00,2250,W,M,28,E,C,,,,X,,,,,X,,,,Y,N,N,,,432
C1-004388,2021/01/16 00:00:00+00,900,A,M,44,E,G,,,,X,,,,,X,,X,,N,,N,Y,,433
C1-004388,2021/01/16 00:00:00+00,900,A,M,44,E,D,,,,,,,X,,,,,,N,,N,Y,,434
C1-004388,2021/01/16 00:00:00+00,900,A,M,44,E,D,,,,,,,X,,,,,,N,,N,Y,,435
C1-003393,2021/01/25 00:00:00+00,0,W,M,45,D,C,,,,X,,,,,X,,,,Y,N,N,,,436
C1-003157,2021/01/11 00:00:00+00,2022,B,M,40,E,D,,,,X,,,X,,,,,,Y,N,N,N,,437
C1-001713,2021/01/06 00:00:00+00,2157,B,M,17,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,438
C1-001713,2021/01/06 00:00:00+00,2157,B,M,17,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,439
C1-001713,2021/01/06 00:00:00+00,2157,B,M,17,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,440
C1-001636,2021/01/06 00:00:00+00,2047,W,M,34,D,G,,,,,,,,,X,,,,N,,Y,N,,441
C0006139,2021/02/16 00:00:00+00,1610,W,F,23,D,C,,,,X,,,,,X,,,,N,,Y,N,,442
C0-111413,2021/02/28 00:00:00+00,332,W,M,38,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,443
 ,,,,,,,,,,,,,,,,,,,,,,,,,444
