RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0-091895,2020/10/02 00:00:00+00,1822,W,M,28,D,D,,,,X,,,,,X,,,,Y,Y,N,,,51
C0-024486,2020/03/19 00:00:00+00,1048,B,M,22,F,G,,,,,,,,,X,,X,,N,,N,Y,,52
C0-023626,2020/03/16 00:00:00+00,1600,,,0,,Z,,,,,,,,X,,,,,N,,,,,53
C0-022974,2020/03/14 00:00:00+00,104,B,M,18,E,D,,,,X,,,X,,X,,,,N,,Y,Y,,54
C0-021607,2020/03/09 00:00:00+00,1624,H,M,52,E,C,,,,X,,,,,X,,,,Y,N,N,N,,55
C0-021161,2020/03/08 00:00:00+00,729,,,0,,Z,,,,,,,,X,,,,,N,,,,,56
C0-020979,2020/03/07 00:00:00+00,1705,W,M,26,D,D,,,,X,,X,,,X,,,,Y,N,N,N,,57
C0-020190,2020/03/05 00:00:00+00,1603,W,M,37,C,G,,,,,,,,,X,,,,Y,Y,N,N,,58
C0-019160,2020/03/02 00:00:00+00,1458,H,M,19,E,G,,,,X,,,,,X,,X,,N,,N,Y,,59
C0-018973,2020/03/02 00:00:00+00,16,B,M,36,D,D,,,X,X,,,X,,X,,,,N,,Y,N,,60
C0-018706,2020/03/01 00:00:00+00,227,W,M,23,E,C,,,,X,,,,,X,,,,N,,Y,N,,61
C0-018666,2020/03/01 00:00:00+00,21,,,0,,Z,,,,,,,,X,,,,,N,,,,,62
C0-017601,2020/02/27 00:00:00+00,154,W,M,18,D,D,,,,X,,,,,X,,,,N,,Y,N,,63
C0-017017,2020/02/25 00:00:00+00,1059,W,M,21,C,C,,,,X,,,,,,,,,N,,Y,Y,,64
C0-016629,2020/02/24 00:00:00+00,356,B,M,18,D,C,,,X,X,,,,,X,,,,Y,N,N,N,,65
C0-015594,2020/02/20 00:00:00+00,27,B,F,20,D,D,,,,X,,,,,X,,,,N,Y,Y,N,,66
C0-015385,2020/02/20 00:00:00+00,1150,W,M,26,B,C,,,,X,,,,,X,,,,N,,N,Y,,67
C0-015385,2020/02/20 00:00:00+00,1150,W,M,26,C,C,,,,X,,,,,X,,,,,,N,Y,,68
C0-014957,2020/02/18 00:00:00+00,2057,W,M,29,,G,,,,X,,,,,X,,X,,N,,N,Y,,69
C0-014666,2020/02/18 00:00:00+00,27,W,F,28,E,C,,,,X,,,,,X,,,,N,,Y,Y,,70
C0-014666,2020/02/18 00:00:00+00,27,W,F,28,D,D,,,,X,,,,,X,,,,N,,Y,Y,,71
C0-012762,2020/02/11 00:00:00+00,1626,B,M,31,D,C,,,,X,,,,,X,,,,Y,N,Y,N,,72
C0-012539,2020/02/10 00:00:00+00,2357,B,M,23,E,C,,,X,,,,,,X,,,,Y,N,N,N,,73
C0-012491,2020/02/10 00:00:00+00,2021,W,M,34,E,C,,,X,X,,,,,X,,,,Y,N,Y,N,,74
C0-012491,2020/02/10 00:00:00+00,2021,W,M,34,E,C,,,X,X,,,,,X,,,,Y,N,Y,N,,75
C0-011962,2020/02/09 00:00:00+00,132,B,F,22,E,D,,,,,,,X,,,,,,N,,N,N,,76
C0-011962,2020/02/09 00:00:00+00,132,B,F,22,E,D,,,,,,,X,,X,,,,N,,N,N,,77
C0-010925,2020/02/05 00:00:00+00,2330,W,M,20,D,C,,,,X,,,,,,,,,N,,Y,N,,78
C0-010925,2020/02/05 00:00:00+00,2330,W,M,20,D,C,,,,X,,,,,,,,,N,,Y,N,,79
