Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B16-07896,5,Theft,911 Line,03/01/2016 04:10:00 PM,false,false,false,false,true,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,45,true,,,,,,,
B16-07951,5,Domestic,911 Line,03/02/2016 12:46:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,true,false,Arrestee,false,false,,true,42,true,,,,,,,
B16-08092,4,Domestic,911 Line,03/03/2016 12:26:00 AM,true,false,false,false,true,,,false,false,false,Intoxicated,true,false,Arrestee,false,false,,true,37,true,,,,,,,
B16-08407,5,Welfare Check,Telephone,03/05/2016 12:40:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,39,true,,,,,,,
B16-08424,1,Disturbance,911 Line,03/05/2016 03:20:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,27,,,true,,,,,
B16-08857,5,Trespass,911 Line,03/08/2016 06:56:00 AM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,true,,37,true,,,,,,,
B16-09294,5,Weapons,911 Line,03/10/2016 09:25:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Involved,false,false,,true,43,true,,,,,,,
B16-09489,1,Service,911 Line,03/12/2016 03:42:00 AM,true,false,false,false,false,,,false,false,false,Unknown,false,false,Arrestee,false,true,,true,39,true,,,,,,,
B16-09562,2,Disturbance,Telephone,03/12/2016 04:59:00 PM,true,false,false,false,false,,,false,false,true,Intoxicated,false,false,Arrestee,true,true,,true,30,,,true,,,,,
B16-09618,2,Fight,911 Line,03/13/2016 12:39:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,false,false,Witness,false,false,,true,41,true,,,,,,,
