RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C3-047649,2023/06/03 00:00:00+00,1970/01/01 00:00:00.732+00,B,F,18,D,C,,,,X,,,,,X,,,,Y,N,N,N,191
C3-046816,2023/05/31 00:00:00+00,1970/01/01 00:00:02.225+00,W,M,39,D,C,,,,X,,,,,X,,,,Y,N,N,N,192
C3-046750,2023/05/31 00:00:00+00,1970/01/01 00:00:01.855+00,W,F,31,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,193
C3-046750,2023/05/31 00:00:00+00,1970/01/01 00:00:01.855+00,W,F,31,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,194
C3-046091,2023/05/30 00:00:00+00,1970/01/01 00:00:00.053+00,W,M,27,D,G,,,,X,,,,,X,,X,,Y,N,Y,Y,195
C3-044906,2023/05/26 00:00:00+00,1970/01/01 00:00:01.612+00,B,M,25,D,C,,,,X,,,,,X,,,,N,,Y,Y,196
C3-044906,2023/05/26 00:00:00+00,1970/01/01 00:00:01.612+00,B,M,25,D,C,,,,X,,,,,X,,,,N,,Y,Y,197
C3-044906,2023/05/26 00:00:00+00,1970/01/01 00:00:01.612+00,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,198
C3-044043,2023/05/24 00:00:00+00,1970/01/01 00:00:00.910+00,W,M,26,D,C,,,,X,,,,,X,,,,N,,Y,Y,199
C3-044043,2023/05/24 00:00:00+00,1970/01/01 00:00:00.910+00,W,M,26,D,C,,,,X,,,,,X,,,,N,,Y,Y,200
C3-041762,2023/05/17 00:00:00+00,1970/01/01 00:00:01.641+00,W,M,37,E,G,,,,,,,,,X,,X,,Y,N,N,Y,201
C3-041302,2023/05/16 00:00:00+00,1970/01/01 00:00:01.037+00,B,M,32,E,G,,,,X,,,,,X,,X,,N,,N,Y,202
C3-041302,2023/05/16 00:00:00+00,1970/01/01 00:00:01.045+00,B,M,32,E,D,,,,X,,,,,,,,,N,,N,Y,203
C3-041294,2023/05/16 00:00:00+00,1970/01/01 00:00:01.036+00,W,M,37,E,C,,,,X,,,,,X,,,,Y,N,Y,N,204
C3-041294,2023/05/16 00:00:00+00,1970/01/01 00:00:01.036+00,W,M,37,E,C,,,,X,,,,,X,,,,Y,N,Y,N,205
C3-040877,2023/05/14 00:00:00+00,1970/01/01 00:00:02.231+00,W,M,32,E,C,,,,X,,,,,X,,,,Y,N,Y,N,206
C3-040191,2023/05/12 00:00:00+00,1970/01/01 00:00:02.214+00,W,M,51,E,D,,,,X,,,,,X,,,,Y,N,N,N,207
C3-038855,2023/05/09 00:00:00+00,1970/01/01 00:00:01.014+00,B,F,30,E,C,,,,X,,,,,X,,,,Y,N,Y,Y,208
C3-038132,2023/05/07 00:00:00+00,1970/01/01 00:00:00.354+00,,,0,E,D,,,,,,,X,,,,,,N,,N,N,209
C3-037940,2023/05/06 00:00:00+00,1970/01/01 00:00:01.734+00,,,0,E,G,,,,,,,,,,,X,,Y,N,N,,210
C3-037875,2023/05/06 00:00:00+00,1970/01/01 00:00:01.839+00,H,M,33,D,C,,,,X,,,,,X,,,,N,,N,Y,211
C3-037875,2023/05/06 00:00:00+00,1970/01/01 00:00:01.839+00,H,M,33,D,C,,,,X,,,,,X,,,,N,,Y,Y,212
C3-037723,2023/05/06 00:00:00+00,1970/01/01 00:00:00.129+00,W,M,21,E,D,,,,,,,X,,X,,,,N,,Y,N,213
C3-037723,2023/05/06 00:00:00+00,1970/01/01 00:00:00.129+00,W,M,21,E,D,,,,,,,X,,X,,,,N,,Y,N,214
C3-037723,2023/05/06 00:00:00+00,1970/01/01 00:00:00.129+00,B,M,21,E,D,,,,,,,X,,X,,,,N,,Y,N,215
C3-036965,2023/05/03 00:00:00+00,1970/01/01 00:00:02.318+00,B,M,68,D,G,,,,X,,,,,X,,X,,N,,Y,Y,216
C3-036601,2023/05/04 00:00:00+00,,W,M,49,F,G,,,,,,,X,,,,,,N,,Y,Y,217
C3-036601,2023/05/04 00:00:00+00,1970/01/01 00:00:00.050+00,W,M,49,F,G,,,,,,,X,,,,,,N,,Y,Y,218
C3-036601,2023/05/04 00:00:00+00,1970/01/01 00:00:00.050+00,W,M,49,F,G,,,,,,,X,,,,,,N,,Y,Y,219
C3-036601,2023/05/04 00:00:00+00,1970/01/01 00:00:00.050+00,W,M,49,F,G,,,,,,,X,,,,,,N,,Y,Y,220
C3-036601,2023/05/04 00:00:00+00,1970/01/01 00:00:00.050+00,W,M,49,F,G,,,,,,,,,,,,X,N,,Y,Y,221
C3-036232,2023/05/01 00:00:00+00,1970/01/01 00:00:01.447+00,W,M,35,F,H,,,,X,,,,X,,,,,N,N,Y,Y,222
C3-035510,2023/04/29 00:00:00+00,1970/01/01 00:00:00.311+00,B,F,28,E,D,,,,X,,,X,,X,,,,Y,N,N,N,223
C3-035490,2023/04/29 00:00:00+00,1970/01/01 00:00:00.152+00,W,M,22,E,D,,,,,,,X,,X,,,,N,,N,N,224
C3-035490,2023/04/29 00:00:00+00,1970/01/01 00:00:00.152+00,W,M,30,E,D,,,,,,,X,,X,,,,N,,N,N,225
C3-035219,2023/04/28 00:00:00+00,1970/01/01 00:00:01.130+00,,,0,,Z,,,,,,,,X,,,,,N,,,,226
C3-035149,2023/04/27 00:00:00+00,1970/01/01 00:00:02.345+00,I,M,53,E,C,,,,X,,,,,X,,,,N,,Y,Y,227
C3-035149,2023/04/27 00:00:00+00,1970/01/01 00:00:02.345+00,I,M,53,E,C,,,,X,,,,,X,,,,,,Y,Y,228
C3-034017,2023/04/24 00:00:00+00,1970/01/01 00:00:01.805+00,W,F,34,D,C,,,,X,,,,,X,,,,N,,Y,Y,229
C3-032097,2023/04/18 00:00:00+00,1970/01/01 00:00:01.748+00,B,F,13,E,C,,,,X,,,,,X,,,,Y,N,Y,N,230
C3-031201,2023/04/15 00:00:00+00,1970/01/01 00:00:02.243+00,W,M,37,D,C,,,,X,,,,,X,,,,N,,Y,,231
C3-031201,2023/04/15 00:00:00+00,1970/01/01 00:00:02.243+00,W,M,37,D,C,,,,X,,,,,X,,,,N,,Y,,232
C3-031111,2023/04/15 00:00:00+00,1970/01/01 00:00:01.823+00,B,M,0,D,C,,,,X,,,,,X,,,,N,N,N,N,233
