RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C3-093336,2023/10/17 00:00:00+00,1970/01/01 00:00:00.015+00,W,M,27,F,H,,,,X,,,,X,,,,,Y,Y,Y,Y,43
C3-093336,2023/10/17 00:00:00+00,1970/01/01 00:00:00.015+00,W,M,27,F,C,,,,X,,,,,,,,,Y,Y,Y,Y,44
C3-092801,2023/10/15 00:00:00+00,1970/01/01 00:00:00.308+00,B,M,26,D,C,,,,X,,,,,X,,,,Y,Y,N,N,45
C3-091775,2023/10/11 00:00:00+00,1970/01/01 00:00:01.742+00,W,M,46,D,C,,,,X,,,,,X,,,,N,N,N,Y,46
C3-091467,2023/10/10 00:00:00+00,1970/01/01 00:00:01.948+00,,,0,,Z,,,,,,,,X,,,,,N,,,,47
C3-090897,2023/10/09 00:00:00+00,1970/01/01 00:00:00.257+00,H,F,28,D,D,,,,X,,,,,X,,,,Y,N,Y,Y,48
C3-090410,2023/10/07 00:00:00+00,1970/01/01 00:00:01.110+00,W,F,27,D,C,,,,X,,,,,X,,,,N,,Y,Y,49
C3-090229,2023/10/06 00:00:00+00,1970/01/01 00:00:02.123+00,W,M,69,D,C,,,,X,,,,,X,,,,N,,Y,N,50
C3-089917,2023/10/05 00:00:00+00,1970/01/01 00:00:02.200+00,W,M,19,E,C,,,,X,,,,,X,,,,Y,N,N,,51
C3-089915,2023/10/05 00:00:00+00,1970/01/01 00:00:02.130+00,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,Y,N,52
C3-088983,2023/10/03 00:00:00+00,1970/01/01 00:00:00.908+00,,,0,,Z,,,,,,,,X,,,,,N,,,,53
C3-088664,2023/10/02 00:00:00+00,,W,F,41,D,C,,,,X,,,,,X,,,,N,,Y,Y,54
C3-088078,2023/09/30 00:00:00+00,1970/01/01 00:00:01.825+00,H,M,25,D,C,,,X,X,,,,,X,,,,N,,N,,55
C3-087799,2023/09/30 00:00:00+00,1970/01/01 00:00:00.117+00,,,0,,Z,,,,,,,,X,,,,,N,,,,56
C3-087367,2023/09/28 00:00:00+00,1970/01/01 00:00:02.330+00,B,M,26,D,C,,,,X,,,,,X,,,,N,,,Y,57
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,D,,,,X,,,,,X,,,,N,N,Y,Y,58
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,G,,,,X,,,,,X,,X,,N,,Y,,59
C3-086724,2023/09/27 00:00:00+00,1970/01/01 00:00:00.414+00,W,M,37,D,D,,,,X,,,,,X,,,,N,,Y,Y,60
C3-086018,2023/09/25 00:00:00+00,1970/01/01 00:00:00.001+00,I,M,49,D,C,,,,X,,,,,X,,,,N,,Y,N,61
C3-086018,2023/09/25 00:00:00+00,1970/01/01 00:00:00.001+00,I,M,49,D,C,,,,X,,,,,X,,,,N,,Y,N,62
C3-085896,2023/09/24 00:00:00+00,1970/01/01 00:00:01.715+00,,,0,E,D,,,,,,,X,,,,,,N,,N,,63
C3-085775,2023/09/24 00:00:00+00,1970/01/01 00:00:00.212+00,B,F,35,E,G,,,,,,,,,X,,X,,N,,Y,Y,64
C3-085026,2023/09/22 00:00:00+00,1970/01/01 00:00:00.032+00,W,M,31,D,D,,,,X,,,,,X,,,,N,,N,,65
C3-084919,2023/09/21 00:00:00+00,1970/01/01 00:00:01.654+00,B,M,20,E,C,,,,X,,,,,X,,,,Y,Y,N,Y,66
C3-084734,2023/09/21 00:00:00+00,1970/01/01 00:00:00.136+00,W,M,28,D,G,,,,,,,,,X,,X,,N,,Y,Y,67
C3-084670,2023/09/20 00:00:00+00,1970/01/01 00:00:02.021+00,W,M,44,D,D,,,,X,,,,,X,,,,N,N,N,N,68
C3-084314,2023/09/19 00:00:00+00,1970/01/01 00:00:01.900+00,B,M,26,D,C,,,,X,,,,,X,,,,Y,N,N,N,69
C3-083973,2023/09/18 00:00:00+00,1970/01/01 00:00:01.830+00,H,M,42,D,C,,,,X,,,,,X,,,,N,,Y,Y,70
C3-082301,2023/09/14 00:00:00+00,1970/01/01 00:00:00.323+00,W,M,27,D,D,,,,X,,,,,X,,,,Y,N,N,N,71
C3-081098,2023/09/10 00:00:00+00,1970/01/01 00:00:00.955+00,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,N,N,72
C3-081098,2023/09/10 00:00:00+00,1970/01/01 00:00:00.953+00,B,M,25,D,C,,,,X,,,,,X,,,,Y,N,N,N,73
C3-080886,2023/09/09 00:00:00+00,1970/01/01 00:00:01.828+00,B,M,14,D,C,,,,X,,,,,X,,,,N,,Y,N,74
C3-080886,2023/09/09 00:00:00+00,1970/01/01 00:00:01.828+00,B,M,14,D,C,,,,X,,,,,X,,,,N,,Y,N,75
C3-080427,2023/09/08 00:00:00+00,1970/01/01 00:00:01+00,H,M,40,D,G,,,,X,,,,,X,,X,,N,N,Y,Y,76
C3-080427,2023/09/08 00:00:00+00,1970/01/01 00:00:01+00,H,M,40,D,G,,,,X,,,,,X,,X,,N,,Y,Y,77
C3-080200,2023/09/07 00:00:00+00,1970/01/01 00:00:01.641+00,B,F,22,E,C,,,,X,,,,,X,,,,Y,N,N,,78
C3-079096,2023/09/04 00:00:00+00,1970/01/01 00:00:00.505+00,H,M,35,F,G,,,,X,,,,,X,,X,,N,,Y,Y,79
C3-079046,2023/09/03 00:00:00+00,1970/01/01 00:00:02.345+00,W,F,67,F,D,,,,X,,,,,X,,,,Y,Y,Y,Y,80
C3-079046,2023/09/03 00:00:00+00,1970/01/01 00:00:02.345+00,W,F,67,F,G,,,,,,,,,X,,X,,Y,Y,Y,Y,81
C3-078672,2023/09/02 00:00:00+00,1970/01/01 00:00:02.044+00,,,0,,Z,,,,,,,,X,,,,,N,N,,,82
C3-077526,2023/08/30 00:00:00+00,1970/01/01 00:00:01.710+00,W,M,19,D,C,,,,X,,,,,X,,,,N,,Y,N,83
C3-075933,2023/08/25 00:00:00+00,1970/01/01 00:00:01.710+00,W,M,73,D,C,,,,X,,,,,X,,,,N,,Y,Y,84
C3-075254,2023/08/23 00:00:00+00,1970/01/01 00:00:01.736+00,W,M,40,E,C,,,,X,,,,,X,,,,N,,Y,N,85
C3-075254,2023/08/23 00:00:00+00,1970/01/01 00:00:01.736+00,W,M,40,E,C,,,,X,,,,,X,,,,N,,Y,N,86
C3-075254,2023/08/23 00:00:00+00,1970/01/01 00:00:01.736+00,W,M,40,E,C,,,,X,,,,,X,,,,,,Y,N,87
C3-075059,2023/08/23 00:00:00+00,1970/01/01 00:00:00.311+00,B,M,67,D,C,,,X,X,,,,,X,,,,Y,N,N,,88
C3-075059,2023/08/23 00:00:00+00,1970/01/01 00:00:00.311+00,B,M,67,D,C,,,,X,,,,,X,,,,Y,,N,,89
C3-072859,2023/08/15 00:00:00+00,,B,M,23,D,D,,,,X,,,,,X,,,,Y,N,Y,N,90
C3-071724,2023/08/12 00:00:00+00,1970/01/01 00:00:01.054+00,B,M,38,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,91
C3-071724,2023/08/12 00:00:00+00,1970/01/01 00:00:01.054+00,B,M,38,E,G,,,,X,,,,,X,,X,,Y,N,Y,Y,92
C3-071193,2023/08/11 00:00:00+00,1970/01/01 00:00:01.605+00,W,F,59,D,C,,,,X,,,,,X,,,,N,,N,Y,93
C3-070345,2023/08/08 00:00:00+00,1970/01/01 00:00:00.100+00,,,0,E,G,,,,,,,,,,,X,,N,,,,94
C3-070337,2023/08/08 00:00:00+00,1970/01/01 00:00:00.003+00,H,M,16,D,G,,,,,,,,,X,,X,,N,,Y,Y,95
C3-069721,2023/08/06 00:00:00+00,1970/01/01 00:00:00.208+00,H,M,35,E,D,,,,,,,X,,X,,,,N,,N,N,96
C3-068745,2023/08/03 00:00:00+00,1970/01/01 00:00:00.845+00,,,0,,Z,,,,,,,,X,,,,,,,,,97
