RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID
B9-119115,2019/12/24 00:00:00+00,949,W,M,38,D,C,,,X,,,,,X,,,,N,,Y,Y,54
B9-119059,2019/12/24 00:00:00+00,115,B,M,16,D,C,,,X,,,,,X,,,,Y,N,N,,55
B9-118284,2019/12/21 00:00:00+00,1227,W,M,48,D,G,,,,,,,,X,,X,,N,,Y,Y,56
B9-118157,2019/12/21 00:00:00+00,355,B,M,16,D,C,,,X,,,,,X,,,,Y,N,Y,N,57
B9-116912,2019/12/16 00:00:00+00,2315,W,M,39,D,D,,X,X,,,,,X,,,,N,,Y,N,58
B9-116039,2019/12/13 00:00:00+00,2100,H,M,21,D,C,,,X,,,,,X,,,,Y,Y,N,N,59
B9-113883,2019/12/06 00:00:00+00,2100,,,0,E,G,,,,,,,,,,X,,N,,N,N,60
B9-113618,2019/12/06 00:00:00+00,255,H,M,16,E,D,,,X,,,,,X,,,,Y,N,N,N,61
B9-112510,2019/12/02 00:00:00+00,1215,B,M,16,D,C,,,X,,,,,X,,,,Y,N,Y,N,62
B9-111908,2019/11/30 00:00:00+00,200,B,M,33,C,C,,,X,,,,,X,,,,N,,N,N,63
B9-111879,2019/11/30 00:00:00+00,19,W,M,36,E,D,,,,,,,,X,,,,N,,N,N,64
B9-109992,2019/11/23 00:00:00+00,213,B,M,18,E,D,,,X,,,,,,,,,Y,N,N,N,65
B9-109666,2019/11/22 00:00:00+00,515,W,M,33,D,G,,,X,,,,,X,,X,,Y,N,Y,Y,66
B9-109666,2019/11/22 00:00:00+00,515,W,M,33,D,D,,,X,,,,,X,,,,N,,Y,Y,67
B9-108061,2019/11/16 00:00:00+00,2249,I,M,39,D,C,,,X,,,,,,,,,Y,Y,N,N,68
B9-107758,2019/11/16 00:00:00+00,432,B,M,59,E,C,,,X,,,,,X,,,,Y,N,N,N,69
B9-107702,2019/11/15 00:00:00+00,2359,H,M,20,D,C,,,X,,,,,X,,,,N,,Y,N,70
B9-106512,2019/11/12 00:00:00+00,413,,,0,,Z,,,,,,,X,,,,,N,,,,71
B9-105382,2019/11/08 00:00:00+00,1428,I,M,50,B,C,,,X,,,,,X,,,,N,,Y,Y,72
B9-105345,2019/11/08 00:00:00+00,1305,H,M,16,D,C,,,,,X,,,X,,,,Y,N,Y,N,73
B9-104532,2019/11/05 00:00:00+00,2139,W,M,27,E,G,,,X,,,,,X,,X,,Y,N,N,Y,74
B9-103579,2019/11/02 00:00:00+00,112,B,M,18,D,C,,,X,,,,,X,,,,N,,Y,N,75
B9-103549,2019/11/03 00:00:00+00,1,W,M,41,E,D,,X,X,,,,,X,,,,Y,N,N,N,76
B9-103507,2019/11/02 00:00:00+00,2224,I,M,46,D,C,,,X,,,,,X,,,,Y,N,Y,Y,77
B9-102736,2019/10/31 00:00:00+00,1638,B,M,14,D,C,,,X,,,,,X,,,,N,,Y,N,78
B9-102736,2019/10/31 00:00:00+00,1638,B,M,15,E,D,,,X,,,,,,,,,N,,Y,N,79
B9-102736,2019/10/31 00:00:00+00,1638,B,M,14,D,C,,,X,,,,,,,,,N,,Y,N,80
B9-102673,2019/10/31 00:00:00+00,1115,B,M,18,D,D,,,X,,X,,,X,,,,N,N,Y,N,81
B9-102380,2019/10/30 00:00:00+00,1621,B,M,26,E,G,,,,,,,,X,,X,,N,,Y,Y,82
B9-101877,2019/10/28 00:00:00+00,2238,W,F,58,D,C,,,X,,,,,X,,,,N,,Y,N,83
B9-101708,2019/10/28 00:00:00+00,1235,B,M,15,D,C,,,X,,,,,,,,,Y,N,Y,N,84
B9-101708,2019/10/28 00:00:00+00,1235,B,M,15,D,C,,,X,,,,,X,,,,Y,N,Y,N,85
B9-101302,2019/10/27 00:00:00+00,211,B,M,23,E,D,,,,,,X,,,,,,N,,N,N,86
B9-100869,2019/10/25 00:00:00+00,2209,H,M,19,D,C,,,X,,,,,,,,,N,,N,N,87
B9-100559,2019/10/25 00:00:00+00,104,B,M,23,C,C,,X,X,,,,,,,,,N,,N,N,88
B9-099239,2019/10/20 00:00:00+00,1935,,,0,,Z,,,,,,,X,,,,,N,,,,89
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,90
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,91
B9-098358,2019/10/18 00:00:00+00,150,B,M,37,E,C,,,X,,,,,X,,,,Y,N,Y,N,92
B9-097664,2019/10/16 00:00:00+00,455,,,0,,Z,,,,,,,X,,,,,,,,,93
B9-097615,2019/10/15 00:00:00+00,2227,W,M,41,D,C,,,X,,,,,X,,,,Y,Y,N,,94
B9-096783,2019/10/13 00:00:00+00,146,W,M,22,E,D,,,,,,X,,,,,,N,,Y,N,95
B9-096783,2019/10/13 00:00:00+00,146,W,M,22,E,D,,,,,,X,,,,,,N,,N,N,96
B9-096783,2019/10/13 00:00:00+00,146,B,M,27,E,D,,,,,,X,,,,,,N,,Y,N,97
B9-096783,2019/10/13 00:00:00+00,146,B,M,24,E,D,,,,,,X,,,,,,N,N,Y,N,98
B9-096783,2019/10/14 00:00:00+00,146,B,M,24,D,C,,,X,,,,,,,,,N,N,Y,N,99
B9-095401,2019/10/08 00:00:00+00,2013,,,0,,Z,,,,,,,X,,,,,N,,N,,100
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,G,,,X,,,,,X,,X,,N,,Y,Y,101
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,D,,,X,,,,,X,,X,,N,,Y,Y,102
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,D,,,X,,,,,X,,X,,N,,Y,Y,103
B9-070595,2019/08/02 00:00:00+00,1542,I,M,0,D,C,,,X,,,,,X,,,,N,,Y,Y,104
B9-069225,2019/07/30 00:00:00+00,108,B,M,21,D,C,,,X,,,,,X,,,,N,,Y,N,105
B9-068862,2019/07/31 00:00:00+00,1715,W,M,35,F,G,,X,X,,,,,X,,X,,N,,Y,Y,106
B9-068862,2019/07/31 00:00:00+00,1715,W,M,35,F,G,,,X,,,,,X,,X,,N,,Y,Y,107
B9-068705,2019/07/28 00:00:00+00,2004,W,M,28,E,G,,,,,,,,,,,,N,Y,Y,Y,108
B9-067938,2019/07/26 00:00:00+00,1249,W,M,31,E,G,,,,,,,,,,X,,N,,Y,Y,109
B9-067826,2019/07/26 00:00:00+00,230,W,M,28,C,C,,,X,,,,,X,,,,N,,Y,N,110
B9-066644,2019/07/22 00:00:00+00,2018,W,F,60,D,C,,,X,,,,,,,,,N,,Y,N,111
B9-066061,2019/07/21 00:00:00+00,235,B,M,21,E,C,,,X,,,,,X,,,,Y,N,N,N,112
B9-066061,2019/07/21 00:00:00+00,235,B,M,21,E,D,,X,X,,,,,X,,,,Y,N,N,N,113
B9-065667,2019/07/19 00:00:00+00,2312,W,M,50,D,G,,,X,,,,,X,,X,,N,,N,N,114
B9-065632,2019/07/19 00:00:00+00,2136,B,M,27,D,C,,,X,,,,,X,,,,Y,N,N,N,115
B9-063666,2019/07/14 00:00:00+00,456,W,M,15,D,D,,,X,,,,,X,,,,Y,N,Y,N,116
B9-063644,2019/07/14 00:00:00+00,226,,,0,E,D,,,,,,X,,,,,,N,,N,,117
B9-062863,2019/07/11 00:00:00+00,2226,B,M,22,D,D,,X,X,,,,,X,,,,N,N,Y,N,118
B9-062863,2019/07/11 00:00:00+00,2226,B,M,22,D,D,,X,X,,,,,X,,,,N,,Y,N,119
B9-062318,2019/07/10 00:00:00+00,1354,W,F,45,E,D,,,X,,,,,X,,,,Y,N,N,N,120
B9-062179,2019/07/10 00:00:00+00,148,,,0,,Z,,,,,,,X,,,,,N,,,,121
B9-061296,2019/07/07 00:00:00+00,930,W,M,27,D,C,,,X,,,,,X,,,,Y,N,N,,122
B9-059996,2019/07/03 00:00:00+00,1040,B,F,14,E,C,,,X,,,,,,,,,Y,N,Y,N,123
B9-057582,2019/06/27 00:00:00+00,1251,W,M,53,E,D,,,X,,,,,X,,,,N,,Y,N,124
B9-057549,2019/06/27 00:00:00+00,1035,W,M,29,D,D,,,X,,,,,X,,,,Y,N,Y,N,125
B9-057549,2019/06/27 00:00:00+00,1035,W,M,29,D,D,,,X,,,,,,,,,Y,N,N,,126
B9-056278,2019/06/23 00:00:00+00,1354,B,M,16,D,C,,,X,,,,,X,,,,Y,N,Y,Y,127
B9-055063,2019/06/20 00:00:00+00,538,W,M,40,D,C,,,X,,,,,X,,,,N,,Y,N,128
B9-053899,2019/06/16 00:00:00+00,1700,W,M,19,E,C,,,X,,,,,X,,,,Y,Y,Y,N,129
B9-053899,2019/06/16 00:00:00+00,1700,W,M,19,E,D,,X,X,,,,,X,,,,Y,Y,Y,N,130
B9-051960,2019/06/10 00:00:00+00,1900,W,M,25,D,C,,X,X,,,,,X,,,,N,,Y,Y,131
B9-051721,2019/06/10 00:00:00+00,117,W,M,14,D,C,,,X,,,,,X,,,,Y,N,Y,N,132
B9-048594,2019/06/01 00:00:00+00,109,H,M,42,D,D,,,X,,,,,X,,,,N,N,Y,Y,133
B9-043923,2019/05/18 00:00:00+00,1905,I,M,33,D,C,,X,X,,,,,X,,,,N,,Y,Y,134
B9-043923,2019/05/18 00:00:00+00,1905,I,M,33,D,C,,X,X,,,,,X,,,,N,,Y,Y,135
B9-043291,2019/05/16 00:00:00+00,2240,H,M,15,D,C,,,X,,,,,X,,,,Y,N,Y,Y,136
B9-043038,2019/05/16 00:00:00+00,2300,W,M,22,D,C,,,X,,,,,X,,,,N,,Y,N,137
B9-043038,2019/05/16 00:00:00+00,2300,W,M,22,D,C,,,X,,,,,X,,,,N,,Y,N,138
B9-041247,2019/05/10 00:00:00+00,2136,W,M,54,E,D,,,X,,,,,X,,,,Y,N,Y,N,139
B9-041247,2019/05/10 00:00:00+00,2136,W,M,54,E,C,,,X,,,,,X,,,,Y,N,Y,N,140
B9-039402,2019/05/05 00:00:00+00,150,W,M,52,C,C,,X,X,,,,,X,,,,Y,N,Y,N,141
B9-038373,2019/05/02 00:00:00+00,730,W,M,51,D,C,,,X,,,,,X,,,,Y,N,Y,Y,142
B9-038373,2019/05/02 00:00:00+00,730,W,M,51,D,C,,,X,,,,,X,,,,Y,N,Y,Y,143
B9-037949,2019/04/30 00:00:00+00,1930,W,M,27,D,C,,,X,,,,,X,,,,Y,N,N,N,144
B9-037949,2019/04/30 00:00:00+00,1930,W,M,27,D,C,,,X,,,,,X,,,,Y,N,N,N,145
B9-034301,2019/04/20 00:00:00+00,525,B,M,26,D,C,,,X,,,,,X,,,,N,,Y,Y,146
B9-034252,2019/04/20 00:00:00+00,130,W,M,26,D,C,,,X,,,,,X,,,,Y,N,N,N,147
B9-032125,2019/04/13 00:00:00+00,2143,W,M,24,E,G,,,,,,,,X,,X,,N,,N,Y,148
B9-031134,2019/04/10 00:00:00+00,2058,W,M,32,D,C,,,X,,,,,X,,,,N,,Y,N,149
B9-030754,2019/04/09 00:00:00+00,2020,W,M,63,D,D,,,X,,,,,X,,,,N,,Y,N,150
B9-095273,2019/10/08 00:00:00+00,1343,W,M,32,E,G,,,X,,,,,X,,X,,N,,Y,Y,151
B9-094473,2019/10/06 00:00:00+00,137,W,M,31,D,C,,X,X,,,,,X,,,,N,,Y,N,152
B9-094413,2019/10/05 00:00:00+00,2234,W,M,41,E,C,,,X,,,,,X,,,,Y,N,Y,Y,153
B9-093617,2019/10/03 00:00:00+00,1952,B,M,40,D,D,,,X,,,,,X,,,,Y,N,Y,N,154
B9-093144,2019/10/02 00:00:00+00,1435,W,M,27,E,G,,,X,,,X,,X,,X,,Y,N,Y,Y,155
B9-093144,2019/10/02 00:00:00+00,1435,W,M,27,E,G,,,X,,X,,,X,,X,,Y,N,Y,Y,156
B9-092047,2019/09/29 00:00:00+00,515,W,F,29,D,C,,,X,,,,,X,,,,Y,N,N,N,157
B9-092012,2019/09/29 00:00:00+00,218,B,M,28,D,C,,,X,,,,,X,,,,Y,N,Y,N,158
B9-091863,2019/09/28 00:00:00+00,2103,B,M,26,D,D,,X,X,,,X,,X,,,,Y,N,N,N,159
B9-091512,2019/09/28 00:00:00+00,5,W,M,20,E,D,,,,,,X,,X,,,,Y,N,Y,N,160
B9-091512,2019/09/28 00:00:00+00,5,B,M,18,D,C,,,X,,,,,X,,,,Y,N,Y,Y,161
B9-091512,2019/09/28 00:00:00+00,5,B,M,18,D,C,,,X,,,,,X,,,,Y,N,Y,Y,162
B9-091086,2019/09/26 00:00:00+00,2225,W,M,57,C,D,,,X,,,,,X,,,,N,,N,N,163
B9-089066,2019/09/21 00:00:00+00,1400,W,M,0,D,C,,,X,,,,,,,,,N,,Y,N,164
B9-088996,2019/09/21 00:00:00+00,1035,W,M,19,E,G,,,,,,,,X,,X,,N,,N,Y,165
B9-088268,2019/11/09 00:00:00+00,1205,B,M,32,D,D,,,X,,,,,X,,,,Y,N,N,N,166
B9-087503,2019/09/17 00:00:00+00,135,,,0,,Z,,,,,,,X,,,,,,,,,167
B9-085725,2019/09/12 00:00:00+00,1207,B,M,16,D,C,,,X,,,,,,,,,Y,N,N,N,168
B9-085690,2019/09/12 00:00:00+00,903,B,M,34,E,D,,,X,,,,,X,,,,Y,N,N,N,169
B9-084463,2019/09/08 00:00:00+00,2052,,,0,,Z,,,,,,,X,,,,,N,,,,170
B9-083405,2019/09/05 00:00:00+00,1940,W,M,33,D,C,,,X,,,,,,,,,N,,Y,Y,171
B9-083023,2019/09/04 00:00:00+00,1950,W,F,30,D,C,,,X,,,,,,,,,Y,N,Y,N,172
B9-083023,2019/09/04 00:00:00+00,1950,W,F,30,D,C,,,X,,,,,,,,,Y,N,Y,N,173
B9-081991,2019/09/02 00:00:00+00,344,B,M,34,D,D,,,X,,,,,X,,,,Y,N,N,N,174
B9-081408,2019/08/31 00:00:00+00,1640,H,M,30,D,D,,,X,,,,,X,,,,N,,Y,N,175
B9-080682,2019/08/30 00:00:00+00,54,H,M,27,D,C,,,X,,,,,X,,,,Y,N,Y,N,176
B9-080196,2019/08/28 00:00:00+00,2018,B,F,26,D,C,,,X,,,,,X,,,,N,,Y,Y,177
B9-079492,2019/10/02 00:00:00+00,2116,W,M,31,D,C,,,X,,,,,,,,,N,,Y,Y,178
B9-078461,2019/08/24 00:00:00+00,930,B,M,0,D,G,,,X,,,,,,,X,,Y,N,N,Y,179
B9-078461,2019/08/24 00:00:00+00,930,B,M,0,D,G,,,X,,,,,,,X,,Y,N,N,Y,180
B9-078407,2019/08/24 00:00:00+00,302,W,F,26,D,C,,X,X,,,,,,,,,N,,Y,Y,181
B9-077534,2019/08/21 00:00:00+00,2247,W,M,81,E,C,,,X,,,,,X,,,,N,N,Y,Y,182
B9-076524,2019/08/19 00:00:00+00,207,W,M,25,D,C,,,X,,,,,,,,,N,,Y,N,183
B9-076493,2019/08/18 00:00:00+00,2342,W,M,34,D,C,,,X,,,,,,,,,Y,N,Y,Y,184
B9-076493,2019/08/18 00:00:00+00,2342,W,M,34,D,C,,,X,,,,,,,,,Y,N,Y,Y,185
B9-076431,2019/08/18 00:00:00+00,2021,A,M,27,E,G,,,X,,,,,,,X,,N,,Y,Y,186
B9-076431,2019/08/18 00:00:00+00,2021,A,M,27,E,G,,,X,,,,,X,,X,,N,,Y,Y,187
B9-076431,2019/08/18 00:00:00+00,2021,,M,27,E,D,,,X,,,,,X,,X,,N,,Y,Y,188
B9-075061,2019/08/15 00:00:00+00,43,W,M,34,D,G,,,,,,,,X,,X,,N,,N,Y,189
B9-073594,2019/08/10 00:00:00+00,2130,,,0,,Z,,,,,,,X,,,,,N,,,,190
B9-073421,2019/08/16 00:00:00+00,1319,W,M,27,D,C,,,X,,,,,,,,,N,,Y,N,191
B9-073421,2019/08/16 00:00:00+00,1322,W,M,27,D,C,,,X,,,,,,,,,N,,Y,N,192
B9-072872,2019/08/08 00:00:00+00,1817,W,M,58,D,C,,,X,,,,,X,,,,N,N,Y,N,193
B9-072872,2019/08/08 00:00:00+00,1817,W,M,58,D,C,,,X,,,,,,,,,N,N,Y,N,194
B9-071225,2019/08/04 00:00:00+00,1146,W,M,47,D,D,,,X,,,,,X,,,,Y,N,Y,N,195
B9-071143,2019/08/04 00:00:00+00,245,W,M,0,E,D,,,X,,,,,X,,,,Y,N,Y,Y,196
B9-071120,2019/08/04 00:00:00+00,151,W,M,0,E,D,,,,,,X,,,,,,N,,N,N,197
B9-071100,2019/08/04 00:00:00+00,100,W,M,28,D,C,,,X,,,,,X,,,,N,,Y,Y,198
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,G,,,X,,,,,X,,X,,N,,Y,Y,199
B9-071022,2019/08/03 00:00:00+00,2011,W,M,28,F,G,,,X,,,,,X,,X,,N,,Y,Y,200
