RKY,DATE,TIME,RACE,SEX,AGE,RLV,FLV,NPP,F6INONE,PP,COA,AC,SP,OC,FIRE,CUF,NBA,TA,DOG,OINJ,OMED,SINJ,SMED,ObjectId
C2-052287,2022/06/18 00:00:00+00,812,B,M,35,D,G,,,,,,,,,X,,X,,N,,Y,Y,1
C2-051111,2022/06/14 00:00:00+00,1949,,,0,,Z,,,,,,,,X,,,,,,,,,2
C2-050446,2022/06/12 00:00:00+00,2303,W,M,31,D,C,,,,X,,,,,X,,,,Y,N,Y,N,3
C2-050446,2022/06/12 00:00:00+00,2303,W,M,31,D,C,,,,X,,,,,X,,,,Y,N,Y,N,4
C2-049465,2022/06/10 00:00:00+00,141,W,M,26,E,C,,,,X,,,,,X,,,,Y,N,N,N,5
C2-049156,2022/06/09 00:00:00+00,401,,,0,,Z,,,,,,,,X,,,,,N,,,,6
C2-049065,2022/06/09 00:00:00+00,2110,W,F,32,D,D,,,,X,,,,,X,,,,N,,Y,Y,7
C2-048917,2022/06/08 00:00:00+00,1512,B,F,15,D,G,,,,X,,,,,X,,X,,N,,N,Y,8
C2-048646,2022/06/07 00:00:00+00,1748,W,M,34,D,D,,,,X,,,,,X,,,,N,,N,N,9
C2-048441,2022/06/07 00:00:00+00,606,W,M,32,D,G,,,,,,,,,,,X,,Y,N,N,Y,10
C2-048344,2022/06/06 00:00:00+00,2025,W,M,31,E,D,,,,X,,,,,X,,,,N,,Y,Y,11
C2-045319,2022/05/29 00:00:00+00,220,,,0,,Z,,,,,,,,X,,,,,N,,N,,12
C2-043595,2022/05/23 00:00:00+00,2040,W,M,50,E,G,,,,,,,,,X,,X,,N,,N,Y,13
C2-041913,2022/06/09 00:00:00+00,1710,W,M,19,D,C,,,,X,,,,,,,,,Y,N,Y,Y,14
C2-041913,2022/06/09 00:00:00+00,1710,W,M,19,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,15
C2-041255,2022/05/17 00:00:00+00,335,A,M,19,E,C,,,,X,,,,,X,,,,N,N,Y,N,16
C2-041221,2022/05/16 00:00:00+00,2343,,,0,,Z,,,,,,,,X,,,,,N,,,,17
C2-040891,2022/05/16 00:00:00+00,306,B,M,38,D,C,,,,X,,,,,X,,,,Y,N,Y,N,18
C2-039983,2022/05/13 00:00:00+00,1418,W,F,33,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,19
C2-039752,2022/05/12 00:00:00+00,1959,W,M,38,D,C,,,,X,,,,,X,,,,N,N,Y,Y,20
C2-039670,2022/05/12 00:00:00+00,1746,B,M,25,D,G,,,,,,,,,X,,X,,N,,Y,Y,21
C2-039008,2022/05/10 00:00:00+00,1831,W,M,40,D,D,,,,X,,,,,X,,,,N,,Y,N,22
C2-038313,2022/05/08 00:00:00+00,2102,W,M,16,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,23
C2-038098,2022/05/08 00:00:00+00,157,B,F,27,E,D,,,,,,,X,,,,,,N,N,N,N,24
C2-037853,2022/05/07 00:00:00+00,1211,W,M,32,D,C,,,,X,,,,,X,,,,N,,Y,N,25
C2-037763,2022/05/07 00:00:00+00,138,H,M,24,E,C,,,,X,,,,,X,,,,Y,N,Y,,26
C2-037763,2022/05/07 00:00:00+00,138,H,M,24,D,D,,,,X,,,,,X,,,,Y,N,Y,,27
C2-037379,2022/05/06 00:00:00+00,200,B,M,20,E,D,,,,,,,X,,X,,,,N,,Y,N,28
C2-037379,2022/05/06 00:00:00+00,200,W,M,21,E,D,,,,,,,X,,X,,,,N,,Y,N,29
C2-037346,2022/05/05 00:00:00+00,2337,A,M,26,D,G,,,,,,,,,X,,X,,N,,Y,Y,30
